text,name,in_1764,in_1778,in_names_omitted,division,occupation_abbr,occupation,sect_abbr,sect,start_1,end_1,start_2,end_2,born,born_about,died,died_about,died_after,age,flourished,flourished_about,flourished_before,flourished_after,flourished_century,lived
Aaron fl. 622 Ph,Aaron,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,602,632,572,652,,,,,,,622,FALSE,FALSE,FALSE,FALSE,
Abas fl. 1070 BC,Abas,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-1089,-1059,-1119,-1039,,,,,,,-1069,FALSE,FALSE,FALSE,FALSE,
Abbas Shah d. 1628.70,Abbas Shah,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1558,1628,1558,1628,,,1628,FALSE,FALSE,70,,,,,,
Abbo d. 1183 D,Abbo,TRUE,FALSE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1153,1183,1113,1183,,,1183,FALSE,FALSE,,,,,,,
Abbo d. 1104 D,Abbo,FALSE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1074,1104,1034,1104,,,1104,FALSE,FALSE,,,,,,,
Abbo Neustriae fl. 892 P,Abbo Neustriae,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,872,902,842,922,,,,,,,892,FALSE,FALSE,FALSE,FALSE,
Abbot d. 1633 71 D,Abbot,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1562,1633,1562,1633,,,1633,FALSE,FALSE,71,,,,,,
Abdalrahman d. 708,Abdalrahman,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,678,708,638,708,,,708,FALSE,FALSE,,,,,,,
Abdalrahman d. 987 85 M,Abdalrahman,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,902,987,902,987,,,987,FALSE,FALSE,85,,,,,,
Abelard d. 1143. 62 D,Abelard,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1081,1143,1081,1143,,,1143,FALSE,FALSE,62,,,,,,
