category,text,url,comment
Kings of Judah,Saul 1095 B. C.,https://en.wikipedia.org/wiki/Saul,
Kings of Judah,David 1055 B. C.,https://en.wikipedia.org/wiki/David,
Kings of Judah,Solomon 1015 B. C.,https://en.wikipedia.org/wiki/Solomon,
Kings of Judah,Rehoboam 975 B. C.,https://en.wikipedia.org/wiki/Rehoboam,
Kings of Judah,Abijah 958 B. C.,https://en.wikipedia.org/wiki/Abijah_of_Judah,
Kings of Judah,Asa 955  B. C.,https://en.wikipedia.org/wiki/Asa_of_Judah,
Kings of Judah,Jehosaphat 914 B. C.,https://en.wikipedia.org/wiki/Jehoshaphat,
Kings of Judah,Joram 889  B. C.,https://en.wikipedia.org/wiki/Jehoram_of_Judah,
Kings of Judah,Ahaziah 885  B. C.,https://en.wikipedia.org/wiki/Ahaziah_of_Judah,
Kings of Judah,Athaliah 884 B. C.,https://en.wikipedia.org/wiki/Athaliah,
Kings of Judah,Joash 878 B. C.,https://en.wikipedia.org/wiki/Jehoash_of_Judah,
Kings of Judah,Amaziah  839  B. C.,https://en.wikipedia.org/wiki/Amaziah_of_Judah,
Kings of Judah,Uzziah 809  B. C.,https://en.wikipedia.org/wiki/Uzziah,
Kings of Judah,Jotham 757 B. C.,https://en.wikipedia.org/wiki/Jotham_of_Judah,
Kings of Judah,Ahaz 741 B. C.,https://en.wikipedia.org/wiki/Ahaz,
Kings of Judah,Hezekiah 726 B. C.,https://en.wikipedia.org/wiki/Hezekiah,
Kings of Judah,Menasseh 697 B. C.,https://en.wikipedia.org/wiki/Manasseh_of_Judah,
Kings of Judah,Ammon 642 B. C.,https://en.wikipedia.org/wiki/Amon_of_Judah,
Kings of Judah,Josiah 640 B. C.,https://en.wikipedia.org/wiki/Josiah,
Kings of Judah,Jehoiakim 608 B. C.,https://en.wikipedia.org/wiki/Jehoiakim,
Kings of Babylon,Nebuchadnezzar 604 B. C.,https://en.wikipedia.org/wiki/Nebuchadnezzar_II_of_Babylon,
Kings of Persia,Cyrus 559 B. C.,https://en.wikipedia.org/wiki/Cyrus_the_Great,
Kings of Persia,Cambyses 529 B. C.,https://en.wikipedia.org/wiki/Cambyses_II,
Kings of Persia,Darius Hystaspis 521 B. C.,https://en.wikipedia.org/wiki/Darius_I_of_Persia,
Kings of Persia,Xerxes 485 B. C.,https://en.wikipedia.org/wiki/Xerxes_I_of_Persia,
Kings of Persia,Artaxerxes Longimanus 464 B. C.,https://en.wikipedia.org/wiki/Artaxerxes_I_of_Persia,
Kings of Persia,Xerxes 2d 425 B. C.,https://en.wikipedia.org/wiki/Xerxes_II_of_Persia,
Kings of Persia,Darius Nothus 423 B. C.,https://en.wikipedia.org/wiki/Darius_II_of_Persia,
Kings of Persia,Artaxerxes Mnemon 404 B. C.,https://en.wikipedia.org/wiki/Artaxerxes_II_of_Persia,
Kings of Persia,Ochus 358 B. C.,https://en.wikipedia.org/wiki/Artaxerxes_III,
Kings of Persia,Arses 337 B. C.,https://en.wikipedia.org/wiki/Arses_of_Persia,
Kings of Persia,Darios Codomannus 335 B. C.,https://en.wikipedia.org/wiki/Darius_III,
Kings of Macedonia,Alexander the Great 336 B. C.,https://en.wikipedia.org/wiki/Alexander_the_Great,
Ptolemies of Egypt,Ptolemy Lagides 323 B. C.,https://en.wikipedia.org/wiki/Ptolemy_I_Soter,
Ptolemies of Egypt,Philadelphus 284 B. C.,https://en.wikipedia.org/wiki/Ptolemy_II_Philadelphus,
Ptolemies of Egypt,Euergetes 246 B. C.,https://en.wikipedia.org/wiki/Ptolemy_III_Euergetes,
Ptolemies of Egypt,Philopator 221 B. C.,https://en.wikipedia.org/wiki/Ptolemy_IV_Philopator,
